id_sprzedazy,data,id_dostepnosci,id_pracownika,id_firmy_kupujacej
1,22/09/2019,867,267,446
2,30/07/2019,986,417,651
3,27/09/2020,551,526,628
4,01/05/2019,612,332,472
5,28/08/2015,780,250,155
6,23/09/2017,126,897,108
7,17/05/2021,914,425,409
8,21/05/2021,721,327,647
9,14/02/2018,882,686,367
10,19/05/2016,202,538,25
11,12/05/2022,89,859,674
12,18/01/2019,667,184,370
13,05/07/2020,684,927,120
14,05/07/2019,403,680,626
15,03/09/2021,975,983,649
16,15/12/2019,137,565,426
17,27/01/2016,187,121,126
18,22/12/2021,258,162,62
19,06/08/2020,435,657,321
20,22/01/2021,3,180,129
21,11/09/2020,887,66,206
22,05/08/2016,125,707,249
23,17/06/2017,339,102,135
24,24/08/2017,745,274,272
25,17/04/2017,315,768,420
26,25/05/2021,946,365,317
27,08/02/2017,695,565,93
28,18/03/2018,709,545,531
29,16/11/2018,708,52,386
30,02/07/2021,743,811,497
31,16/05/2021,372,347,150
32,30/09/2018,484,6,659
33,29/03/2017,350,970,385
34,13/02/2022,347,421,675
35,28/01/2021,121,796,61
36,31/08/2016,318,16,430
37,09/07/2021,477,913,240
38,08/08/2017,539,529,78
39,14/08/2021,6,228,742
40,12/02/2021,765,26,318
41,11/09/2021,265,807,398
42,11/04/2019,409,928,399
43,31/01/2020,874,646,275
44,16/03/2018,191,441,130
45,21/10/2017,405,234,153
46,26/10/2016,29,244,205
47,28/07/2016,423,492,235
48,22/10/2018,488,745,573
49,19/02/2019,392,50,25
50,08/03/2016,602,563,725
51,11/12/2021,728,54,22
52,10/08/2019,607,777,265
53,29/04/2021,425,760,561
54,25/04/2018,611,373,492
55,27/06/2015,616,750,796
56,10/03/2016,915,845,332
57,01/04/2017,375,45,408
58,31/08/2017,492,639,388
59,12/07/2016,72,123,291
60,24/03/2018,512,675,336
61,26/09/2015,225,598,633
62,15/11/2021,554,482,124
63,07/03/2018,841,663,577
64,30/12/2019,716,673,352
